Authors,Title,Year,Volume,DOI,Abstract,Author Keywords,Document Type
"Karabulut, I.; Alabas-Uslu, C.",Optimization of cable layout designs for large offshore wind farms,2020,44,10.1002/er.5336,"Installation of a wind farm exposes several problems such as site selection, placement of wind turbines in the site, and designing of cable infrastructure within the farm. The latter problem, called cable layout design, is the determination of cable connections among turbines and one or more transmitters such that energies generated by turbines will be sent through the cable routes, and eventually gathered at the transmitter(s). This problem is especially important for offshore wind farms where the featured and expensive cables are used. The main objective of the present study is to address the cable layout design problem of offshore wind farms to reduce cable costs in the design using optimization-based approaches. The problem, firstly, is modelled as a mixed integer linear program (MIP) under a set of real-life constraints such as different cable and transmitter types and non-crossing connections between the turbines. Then, a novel mathematical model, which is a modification of the MIP model by imposing several heuristic rules, is proposed to solve the layout problem of large offshore wind farms. Experiments on a set of small- and moderate-sized test instances reveal that the heuristic model, MIP_H, reduces the computer time nearly 55% compared to that of MIP model while the average cable costs generated by the models are close to each other. MIP_H, besides its efficiency, provides more cost-effective layouts compared to MIP model for large-sized real-life examples. Additionally, a comparative study on MIP_H and existing methods in the literature shows that MIP_H is able to solve all instances of the real-life examples providing less cable costs in average. © 2020 John Wiley & Sons Ltd",cable layout; cable routing; integer programming; wind farm optimization,Article
"Tahery, H.; Kucuksari, S.",DC Collection System Layout Optimization for Offshore Wind Farm,2020,2020-October,10.1109/TD39804.2020.9299919,"DC collection system for an offshore wind farm has become an alternative to AC system. Since the DC system requires high-cost converter technology to be integrated to existing AC grid, the cost of overall system becomes a concern. Submarine XLPE collection cable connecting wind turbines with substation is part of the electrical system cost. Effective cable layout design and right cable size selection can contribute to cost reduction. This paper presents a DC collection system layout optimization for offshore wind farm using Genetic Algorithm and Traveling Salesman Problem. The cable cost is minimized as an objective function considering cable power losses, cable cross-section, and cable length. Case studies are conducted considering fix substation locations and optimum number of feeders are identified. Results are compared with optimized AC layout in an earlier study and show that DC collection system cable cost has superiority over AC system cost. © 2020 IEEE.",DC collection system optimization; Genetic Algorithm; Offshore wind farm; Travelling Salesman Problem,Conference paper
"Liang, C.; Zhang, J.; Liu, Y.; Yan, J.; He, W.",Research on the Influence of Development Scenarios on the OLCOE of Wind Power: A Case Study of China,2020,2020,10.1155/2020/3297050,"To achieve a high penetration of renewable energy, wind power development in China has gradually moved to diverse manifestation (e.g., centralized onshore, low wind speed, and offshore wind power). However, preexisting studies regarding wind power cost neglect to consider the respective characteristics of different development scenarios. In this paper, the overall levelized cost of energy (OLCOE) model is established for different scenarios. Taking China's wind farm data as an example, the impact of development scenarios and wind power permeability on OLCOE and its cost components is quantitatively analysed. The results show that, (1) in the low penetration scenario, low wind speed power has the best economy and is beneficial to the conventional units; (2) the large-scale development of offshore wind power requires a reduction in the cost of offshore wind turbines and submarine cables; and (3) at present, onshore centralized wind power has economic advantages, but there is little room for its cost reduction. © 2020 Chao Liang et al.",,Article
"Arrambide, I.; Zubia, I.; Madariaga, A.",Re-optimizing array cable systems in offshore wind farms using 66 kv voltage,2020,18,10.24084/repqj18.212,"As offshore wind energy production is taking part of overall strategy in different countries´ energy mixes, significant cost reductions are needed. One of the key improvements is stepping up inner field voltage from 33 kV to 66 kV. This work presents an inter-array power losses analysis taking into account transition to 66 kV cables instead of usual well known 33 kV solution. This paper covers and compares classical collector system voltage at 33 kV with the new 66 kV voltage level besides new optimization of collector system. Losses distribution is calculated according to IEC 60287 international standard. © European Association for the Development of Renewable Energy, Environment and Power Quality (EA4EPQ). All rights reserved.",33/66 kV; Inner-array system; LCoE; Offshore wind farm; Power losses,Article
"Jin, R.; Hou, P.; Yang, G.; Qi, Y.; Chen, C.; Chen, Z.",Cable routing optimization for offshore wind power plants via wind scenarios considering power loss cost model,2019,254,10.1016/j.apenergy.2019.113719,"Offshore wind power plants have been considered as one of the fastest-growing types of renewable energy technologies that is superior to the onshore wind farms with low impacts on habitat, better wind condition, higher energy efficiency, etc. The cost of submarine cables takes a significant proportion of the overall capital cost for a large-scale offshore wind farm, rendering the task of optimization of electrical infrastructure a critical role in modern wind farm design. With the increasing capacity and offshore distance, the impact of power losses in the cables on the economic performance of the wind farm becomes significant. Therefore, both the investment on the cables and the cost from the associated energy loss need to be considered in the optimization model. In this work, a detailed power loss cost model accounting for the wake effect's impact on the wind turbine output is proposed. The cable cost and the associated power losses cost are considered in the objective function. The offshore substation location, cable connection layout, and cable sectional area are optimized simultaneously while ensuring an uncrossed cable connection layout via a line segment intersection detection algorithm. Due to the non-convexity of the optimization model, an adaptive particle swarm optimization algorithm is adopted. The proposed method was validated through a case of a real offshore wind farm, where the simulation results show that the cable connection layout formulation and sectional area selection varies significantly when different power loss model is applied. A 3.14% total cost reduction can be achieved by using the proposed method compared with the case without the power loss model. © 2019",Cable connection layout; Evolutionary algorithm; Nonconvex; Offshore wind farm; Power loss; Wake effect,Article
"Wang, L.; Wu, J.; Tang, Z.; Wang, T.",An integration optimization method for power collection systems of offshore wind farms,2019,12,10.3390/en12203965,"The traditional power collection system design separately optimizes the connection topology and the cable cross sections, which may result in the inherent shortcoming of lacking the most economical solutions. In this pursuit, the present work envisages the development of an integrated design method for general wind farm power collection systems, which integrated the coupling random fork tree coding, union-find set loop identification, current and voltage drop calculation models, and a high performance optimization algorithm. The proposed coupling random fork tree coding, for the first time, realized the coupling code of the substation location, connection topology, and cable cross sections, providing the basis for the integration design of the power collection system. The optimization results for discrete and regular wind farms indicated that the proposed integration method achieved the best match of topology, substation location, and the cable cross sections, thus presenting the most economical scheme of the power collection system. Compared to the traditional two-step methods, the integration method used more branches while acquiring them, to maintain the lower number of wind turbines in each branch. Furthermore, it also employed large cross-section cables to reduce the energy loss caused by the impedance in the topology, thereby resulting in a slight increased cable cost; however, the total cost was minimized. The proposed method is very versatile and suitable for the optimization of power collection systems containing any number of wind turbines and substations, and can be combined with any evolutionary algorithm. © 2019 by the authors.",Cable cross sections; Connection topology; Integration design method; Offshore wind farm; Power collection system design,Article
"Tahery, H.; Kucuksari, S.",Offshore Wind Farm Collection Cable Layout Optimization through Cost Minimization,2019,,10.1109/NAPS46351.2019.9000348,"Offshore wind farms' annual energy yield is higher compared to their counterparts at onshore. However, their investment costs are also high due to high capital expenditure cost components such as offshore platform and turbine foundations. Optimally designed collection cable layout can help reduce the overall investment cost. This paper presents a collection cable layout optimization using Travelling Salesman Problem and Genetic Algorithm. The objective function is to reduce the cost of submarine collection cables and their power losses. Two different substation locations are considered for an offshore wind farm with 25 turbines to investigate the effect of different substation locations on the collection cable cost and cable power losses. In addition, the optimum number of feeders is identified together with right cable size (cross-section) for each feeder that minimizes the collection cable costs and power losses. Results show that collection cable costs can be minimized with the optimum cable layout. © 2019 IEEE.",collection system optimization; Genetic Algorithm; Offshore wind farm; Travelling Salesman Problem,Conference paper
"Li, J.; Wu, X.; Hu, W.; Huang, Q.; Chen, Z.",Substation location and cable connection optimization of onshore wind farms using minimum spanning tree algorithm,2018,2018-October,10.1109/APPEEC.2018.8566298,"Due to the high investment cost, high maintenance costs, and vulnerability to climate impacts of offshore wind farm, large onshore wind farms are attracting more and more attention. Nowadays, the numbers and scale of onshore wind farms are increasing. For onshore wind farms whose the layout of wind turbines (WT) have been identified, optimizing cable connection can further reduce the investment cost. The cable connection layout and the substation location are determined together. Final cable connection should take the substation location into account to reduce the cable costs which occupy a large proportion in wind farm construction cost. The construction site of onshore wind farm is often not on the flat ground. To get more reasonable results, a method to get the final cable connection which optimized by minimum spanning tree is proposed in this paper under the consideration of the topographic conditions. At the same time, the position of the substation is also determined. The final results show that the cable connection obtained by this method is more economical. © 2018 IEEE.",cable connection; Minimum spanning tree; onshore windfarm; topographic conditions,Conference paper
"Fischetti, M.; Leth, J.; Borchersen, A.B.",A Mixed-Integer Linear Programming approach to wind farm layout and inter-array cable routing,2015,2015-July,10.1109/ACC.2015.7172266,"A Mixed-Integer Linear Programming (MILP) approach is proposed to optimize the turbine allocation and inter-array offshore cable routing. The two problems are considered with a two steps strategy, solving the layout problem first and then the cable problem. We give an introduction to both problems and present the MILP models we developed to solve them. To deal with interference in the onshore cases, we propose an adaptation of the standard Jensen's model, suitable for 3D cases. A simple Stochastic Programming variant of our model allows us to consider different wind scenarios in the optimization. For the inter-array cable routing, we propose a new MILP model able to deal with different constraints arsing in practical application, such as capacity limitations, substation limitations and non-crossing constraints. Computational results on real-world instances prove the practical viability of the approach. © 2015 American Automatic Control Council.",,Conference paper
"Moon, W.-S.; Won, J.-N.; Huh, J.-S.; Jo, A.; Kim, J.-C.",Optimal design of power grid and location of offshore substation for offshore wind power plant,2015,64,10.5370/KIEE.2015.64.7.984,"This paper presents the methodology for optimal design of power grid for offshore wind power plant (OWPP) and optimum location of offshore substation. The proposed optimization process is based on a genetic algorithm, where the objective cost model is composed of investment, power loss, repair, and reliability cost using the net present value during the whole OWPP life cycle. A probability wind power output is modeled to reflect the characteristics of a wind power plant that produces electricity through wind and to calculate the reliability cost called expected energy not supplied. The main objective is to find the minimum cost for grid connection topology by submarine cables which cannot cross each other. Cable crossing was set as a constraint in the optimization algorithm of grid topology of the wind power plant. On the basis of this method, a case study is conducted to validate the model by simulating a 100-MW OWF. © © The Korean Institute of Electrical Engineers.",GA optimization; Offshore substation; Offshore wind power grid; Probabilistic wind power model; Submarine cable crossing,Article
"Klein, A.; Haugland, D.; Bauer, J.; Mommer, M.",An integer programming model for branching cable layouts in offshore wind farms,2015,359,10.1007/978-3-319-18161-5_3,"An integer programming model for minimizing the cabling costs of offshore wind farms which allows for branching of the cables is developed. Model features include upper bounds on the number of cable branches made at any wind turbine, upper bounds on the cable loads, and exclusion of crossing cable segments. The resulting model resembles the capacitated minimum spanning tree problem, with the addition of degree and planarity constraints. Numerical experiments with realistic wind farm data indicate that the benefit from branching is small when using only one cable type, but is up to 13% if allowing for two different cable types. © Springer International Publishing Switzerland 2015.",Cable routes; Constrained minimum spanning tree; Integer programming; Offshore wind farms,Conference paper
"Ferguson, A.; de Villiers, P.; Fitzgerald, B.; Matthiesen, J.",Benefits in moving the inter-array voltage from 33 kV to 66 kV AC for large offshore wind farms,2012,2,,"It has been found that wind farms operating at higher inter-array voltages than is currently the norm will benefit from considerable cost reductions and higher yields. This paper highlights the potential for higher voltage inter-array systems to deliver significant cost benefit to the design of future offshore wind farms. A detailed comparison of 36 kV AC (operating at 33 kV) radial and ring inter-array systems with 52 kV AC (operating at 48 kV) and 72.5 kV AC (operating at 66 kV) radial and ring inter-array systems was undertaken. This involved an analysis of all key technical components of the system, i.e. cables, switchgear, transformers and offshore substations and optimising and comparing the inter-array designs. A detailed cost-benefit analysis was carried out in order to compare the systems. This included CAPEX, operation and maintenance, cost of system losses and cost of losses due to cable failure for an assumed wind farm lifetime of 25 years. A further qualitative comparison was performed to identify other risks and benefits, including supply chain, health and safety and operation and maintenance considerations. Finally, the optimal higher voltage system was identified and a roadmap was developed to identify the route to commercialisation. It was found that moving to either 48 kV or 66 kV demonstrated a material improvement in the full life costs compared with 33 kV, but that the improvement for 66 kV was the highest. Previous work has examined the potential for higher voltages (48 kV or 66 kV) to be used to connect wind farms without an offshore substation [2] but this is the first time that a full analysis has been carried out for the use of higher voltage inter-array systems for wind farms that are far offshore and still incorporate a high voltage AC (HVAC) or high voltage DC (HVDC) transmission system.",,Conference paper
